mgen_id	sample_id	plate_number	plate_well	filename_r1	filename_r2	mgen_library_notes	sra_accession
SS01090	SS01090	1	E06	2019-08-21/Mg1E06_S54_R1_001.fastq.gz	2019-08-21/Mg1E06_S54_R2_001.fastq.gz		SRR14874721
SS01091	SS01091	1	E07	2019-08-21/Mg1E07_S55_R1_001.fastq.gz	2019-08-21/Mg1E07_S55_R2_001.fastq.gz		SRR14874720
SS01097	SS01097	1	E08	2019-08-21/Mg1E08_S56_R1_001.fastq.gz	2019-08-21/Mg1E08_S56_R2_001.fastq.gz		SRR14874719
SS01086	SS01086	1	E09	2019-08-21/Mg1E09_S57_R1_001.fastq.gz	2019-08-21/Mg1E09_S57_R2_001.fastq.gz		SRR14874718
SS01092	SS01092	1	E10	2019-08-21/Mg1E10_S58_R1_001.fastq.gz	2019-08-21/Mg1E10_S58_R2_001.fastq.gz		SRR14874717
SS01098	SS01098	1	E11	2019-08-21/Mg1E11_S59_R1_001.fastq.gz	2019-08-21/Mg1E11_S59_R2_001.fastq.gz		SRR14874716
SS01100	SS01100	1	E12	2019-08-21/Mg1E12_S60_R1_001.fastq.gz	2019-08-21/Mg1E12_S60_R2_001.fastq.gz		SRR14874715
SS01103	SS01103	1	F01	2019-08-21/Mg1F01_S61_R1_001.fastq.gz	2019-08-21/Mg1F01_S61_R2_001.fastq.gz		SRR14874713
DS0097_007	DS0097_007	1	F02	2019-08-21/Mg1F02_S62_R1_001.fastq.gz	2019-08-21/Mg1F02_S62_R2_001.fastq.gz		SRR14874712
DS0097_008	DS0097_008	1	F03	2019-08-21/Mg1F03_S63_R1_001.fastq.gz	2019-08-21/Mg1F03_S63_R2_001.fastq.gz		SRR14874711
DS0097_001	DS0097_001	1	F04	2019-08-21/Mg1F04_S64_R1_001.fastq.gz	2019-08-21/Mg1F04_S64_R2_001.fastq.gz		SRR14874710
DS0097_009	DS0097_009	1	F05	2019-08-21/Mg1F05_S65_R1_001.fastq.gz	2019-08-21/Mg1F05_S65_R2_001.fastq.gz		SRR14874709
DS0097_010	DS0097_010	1	F06	2019-08-21/Mg1F06_S66_R1_001.fastq.gz	2019-08-21/Mg1F06_S66_R2_001.fastq.gz		SRR14874708
DS0097_002	DS0097_002	1	F07	2019-08-21/Mg1F07_S67_R1_001.fastq.gz	2019-08-21/Mg1F07_S67_R2_001.fastq.gz		SRR14874707
DS0097_003	DS0097_003	1	F08	2019-08-21/Mg1F08_S68_R1_001.fastq.gz	2019-08-21/Mg1F08_S68_R2_001.fastq.gz		SRR14874706
DS0097_011	DS0097_011	1	F09	2019-08-21/Mg1F09_S69_R1_001.fastq.gz	2019-08-21/Mg1F09_S69_R2_001.fastq.gz		SRR14874705
DS0097_012	DS0097_012	1	F10	2019-08-21/Mg1F10_S70_R1_001.fastq.gz	2019-08-21/Mg1F10_S70_R2_001.fastq.gz		SRR14874704
DS0097_004	DS0097_004	1	F11	2019-08-21/Mg1F11_S71_R1_001.fastq.gz	2019-08-21/Mg1F11_S71_R2_001.fastq.gz		SRR14874702
DS0097_014	DS0097_014	1	F12	2019-08-21/Mg1F12_S72_R1_001.fastq.gz	2019-08-21/Mg1F12_S72_R2_001.fastq.gz		SRR14874701
DS0097_005	DS0097_005	1	G01	2019-08-21/Mg1G01_S73_R1_001.fastq.gz	2019-08-21/Mg1G01_S73_R2_001.fastq.gz		SRR14874700
DS0097_013	DS0097_013	1	G02	2019-08-21/Mg1G02_S74_R1_001.fastq.gz	2019-08-21/Mg1G02_S74_R2_001.fastq.gz		SRR14874699
DS0097_006	DS0097_006	1	G03	2019-08-21/Mg1G03_S75_R1_001.fastq.gz	2019-08-21/Mg1G03_S75_R2_001.fastq.gz		SRR14874698
DS0097_015	DS0097_015	1	G04	2019-08-21/Mg1G04_S76_R1_001.fastq.gz	2019-08-21/Mg1G04_S76_R2_001.fastq.gz		SRR14874697
DS0097_016	DS0097_016	1	G05	2019-08-21/Mg1G05_S77_R1_001.fastq.gz	2019-08-21/Mg1G05_S77_R2_001.fastq.gz		SRR14874696
DS0097_017	DS0097_017	1	G06	2019-08-21/Mg1G06_S78_R1_001.fastq.gz	2019-08-21/Mg1G06_S78_R2_001.fastq.gz		SRR14874695
DS0485_002	DS0485_002	1	G07	2019-08-21/Mg1G07_S79_R1_001.fastq.gz	2019-08-21/Mg1G07_S79_R2_001.fastq.gz		SRR14874694
DS0097_028	DS0097_028	1	G08	2019-08-21/Mg1G08_S80_R1_001.fastq.gz	2019-08-21/Mg1G08_S80_R2_001.fastq.gz		SRR14874693
DS0097_029	DS0097_029	1	G09	2019-08-21/Mg1G09_S81_R1_001.fastq.gz	2019-08-21/Mg1G09_S81_R2_001.fastq.gz		SRR14874691
DS0097_030	DS0097_030	1	G10	2019-08-21/Mg1G10_S82_R1_001.fastq.gz	2019-08-21/Mg1G10_S82_R2_001.fastq.gz		SRR14874690
DS0097_022	DS0097_022	1	G11	2019-08-21/Mg1G11_S83_R1_001.fastq.gz	2019-08-21/Mg1G11_S83_R2_001.fastq.gz		SRR14874689
DS0097_031	DS0097_031	1	G12	2019-08-21/Mg1G12_S84_R1_001.fastq.gz	2019-08-21/Mg1G12_S84_R2_001.fastq.gz		SRR14874688
DS0097_023	DS0097_023	1	H01	2019-08-21/Mg1H01_S85_R1_001.fastq.gz	2019-08-21/Mg1H01_S85_R2_001.fastq.gz		SRR14874687
DS0097_032	DS0097_032	1	H02	2019-08-21/Mg1H02_S86_R1_001.fastq.gz	2019-08-21/Mg1H02_S86_R2_001.fastq.gz		SRR14874686
DS0097_024	DS0097_024	1	H03	2019-08-21/Mg1H03_S87_R1_001.fastq.gz	2019-08-21/Mg1H03_S87_R2_001.fastq.gz		SRR14874685
DS0097_034	DS0097_034	1	H04	2019-08-21/Mg1H04_S88_R1_001.fastq.gz	2019-08-21/Mg1H04_S88_R2_001.fastq.gz		SRR14874684
DS0097_025	DS0097_025	1	H05	2019-08-21/Mg1H05_S89_R1_001.fastq.gz	2019-08-21/Mg1H05_S89_R2_001.fastq.gz		SRR14874683
DS0097_035	DS0097_035	1	H06	2019-08-21/Mg1H06_S90_R1_001.fastq.gz	2019-08-21/Mg1H06_S90_R2_001.fastq.gz		SRR14874682
DS0097_026	DS0097_026	1	H07	2019-08-21/Mg1H07_S91_R1_001.fastq.gz	2019-08-21/Mg1H07_S91_R2_001.fastq.gz		SRR14874680
DS0097_027	DS0097_027	1	H08	2019-08-21/Mg1H08_S92_R1_001.fastq.gz	2019-08-21/Mg1H08_S92_R2_001.fastq.gz		SRR14874679
DS0097_036	DS0097_036	1	H09	2019-08-21/Mg1H09_S93_R1_001.fastq.gz	2019-08-21/Mg1H09_S93_R2_001.fastq.gz		SRR14874678
SS01108	SS01108	1	H10	2019-08-21/Mg1H10_S94_R1_001.fastq.gz	2019-08-21/Mg1H10_S94_R2_001.fastq.gz		SRR14874677
SS01105	SS01105	1	H11	2019-08-21/Mg1H11_S95_R1_001.fastq.gz	2019-08-21/Mg1H11_S95_R2_001.fastq.gz		SRR14874676
SS01117	SS01117	1	H12	2019-08-21/Mg1H12_S96_R1_001.fastq.gz	2019-08-21/Mg1H12_S96_R2_001.fastq.gz		SRR14874675
SS01120	SS01120	2	A01	2019-08-21/Mg2A01_S97_R1_001.fastq.gz	2019-08-21/Mg2A01_S97_R2_001.fastq.gz		SRR14874674
SS01123	SS01123	2	A02	2019-08-21/Mg2A02_S98_R1_001.fastq.gz	2019-08-21/Mg2A02_S98_R2_001.fastq.gz		SRR14874673
SS01125	SS01125	2	A03	2019-08-21/Mg2A03_S99_R1_001.fastq.gz	2019-08-21/Mg2A03_S99_R2_001.fastq.gz		SRR14874672
SS01126	SS01126	2	A04	2019-08-21/Mg2A04_S100_R1_001.fastq.gz	2019-08-21/Mg2A04_S100_R2_001.fastq.gz		SRR14874671
SS01127	SS01127	2	A05	2019-08-21/Mg2A05_S101_R1_001.fastq.gz	2019-08-21/Mg2A05_S101_R2_001.fastq.gz		SRR14874831
SS01128	SS01128	2	A06	2019-08-21/Mg2A06_S102_R1_001.fastq.gz	2019-08-21/Mg2A06_S102_R2_001.fastq.gz		SRR14874830
SS01130	SS01130	2	A07	2019-08-21/Mg2A07_S103_R1_001.fastq.gz	2019-08-21/Mg2A07_S103_R2_001.fastq.gz		SRR14874829
SS01131	SS01131	2	A08	2019-08-21/Mg2A08_S104_R1_001.fastq.gz	2019-08-21/Mg2A08_S104_R2_001.fastq.gz		SRR14874828
SS01133	SS01133	2	A09	2019-08-21/Mg2A09_S105_R1_001.fastq.gz	2019-08-21/Mg2A09_S105_R2_001.fastq.gz		SRR14874827
SS01134	SS01134	2	A10	2019-08-21/Mg2A10_S106_R1_001.fastq.gz	2019-08-21/Mg2A10_S106_R2_001.fastq.gz		SRR14874826
SS01135	SS01135	2	A11	2019-08-21/Mg2A11_S107_R1_001.fastq.gz	2019-08-21/Mg2A11_S107_R2_001.fastq.gz		SRR14874825
SS01137	SS01137	2	A12	2019-08-21/Mg2A12_S108_R1_001.fastq.gz	2019-08-21/Mg2A12_S108_R2_001.fastq.gz		SRR14874824
SS01138	SS01138	2	B01	2019-08-21/Mg2B01_S109_R1_001.fastq.gz	2019-08-21/Mg2B01_S109_R2_001.fastq.gz		SRR14874823
SS01136	SS01136	2	B02	2019-08-21/Mg2B02_S110_R1_001.fastq.gz	2019-08-21/Mg2B02_S110_R2_001.fastq.gz		SRR14874822
SS01139	SS01139	2	B03	2019-08-21/Mg2B03_S111_R1_001.fastq.gz	2019-08-21/Mg2B03_S111_R2_001.fastq.gz		SRR14874820
SS01141	SS01141	2	B04	2019-08-21/Mg2B04_S112_R1_001.fastq.gz	2019-08-21/Mg2B04_S112_R2_001.fastq.gz		SRR14874819
SS01140	SS01140	2	B05	2019-08-21/Mg2B05_S113_R1_001.fastq.gz	2019-08-21/Mg2B05_S113_R2_001.fastq.gz		SRR14874818
SS01142	SS01142	2	B06	2019-08-21/Mg2B06_S114_R1_001.fastq.gz	2019-08-21/Mg2B06_S114_R2_001.fastq.gz		SRR14874817
SS01149	SS01149	2	B07	2019-08-21/Mg2B07_S115_R1_001.fastq.gz	2019-08-21/Mg2B07_S115_R2_001.fastq.gz		SRR14874816
SS01145	SS01145	2	B08	2019-08-21/Mg2B08_S116_R1_001.fastq.gz	2019-08-21/Mg2B08_S116_R2_001.fastq.gz		SRR14874815
SS01146	SS01146	2	B09	2019-08-21/Mg2B09_S117_R1_001.fastq.gz	2019-08-21/Mg2B09_S117_R2_001.fastq.gz		SRR14874814
SS01151	SS01151	2	B10	2019-08-21/Mg2B10_S118_R1_001.fastq.gz	2019-08-21/Mg2B10_S118_R2_001.fastq.gz		SRR14874813
SS01147	SS01147	2	B11	2019-08-21/Mg2B11_S119_R1_001.fastq.gz	2019-08-21/Mg2B11_S119_R2_001.fastq.gz		SRR14874812
SS01150	SS01150	2	B12	2019-08-21/Mg2B12_S120_R1_001.fastq.gz	2019-08-21/Mg2B12_S120_R2_001.fastq.gz		SRR14874811
SS01154	SS01154	2	C01	2019-08-21/Mg2C01_S121_R1_001.fastq.gz	2019-08-21/Mg2C01_S121_R2_001.fastq.gz		SRR14874809
SS01155	SS01155	2	C02	2019-08-21/Mg2C02_S122_R1_001.fastq.gz	2019-08-21/Mg2C02_S122_R2_001.fastq.gz		SRR14874808
SS01148	SS01148	2	C03	2019-08-21/Mg2C03_S123_R1_001.fastq.gz	2019-08-21/Mg2C03_S123_R2_001.fastq.gz		SRR14874807
SS01156	SS01156	2	C04	2019-08-21/Mg2C04_S124_R1_001.fastq.gz	2019-08-21/Mg2C04_S124_R2_001.fastq.gz		SRR14874806
SS01160	SS01160	2	C05	2019-08-21/Mg2C05_S125_R1_001.fastq.gz	2019-08-21/Mg2C05_S125_R2_001.fastq.gz		SRR14874805
SS01157	SS01157	2	C06	2019-08-21/Mg2C06_S126_R1_001.fastq.gz	2019-08-21/Mg2C06_S126_R2_001.fastq.gz		SRR14874804
